Time,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_per_s,GyroY_deg_per_s,GyroZ_deg_per_s,AngleX_deg,AngleY_deg,AngleZ_deg,MagX_uT,MagY_uT,MagZ_uT
 20:35:02.895, -0.086, 0.004, -0.999, -0.244, 0.000, -0.122, 179.171, 5.262, -41.462, -26.067, -30.208, 12.025,
 20:35:02.988, -0.087, 0.004, -1.000, -0.244, -0.183, -0.122, 179.171, 5.262, -41.473, -26.117, -30.258, 11.583,
 20:35:03.097, -0.086, 0.005, -1.000, -0.305, -0.061, -0.061, 179.171, 5.257, -41.479, -25.983, -30.283, 11.600,
 20:35:03.190, -0.087, 0.003, -1.000, -0.366, -0.244, 0.000, 179.176, 5.251, -41.479, -26.058, -30.408, 11.467,
 20:35:03.297, -0.086, 0.006, -1.000, -0.305, -0.122, 0.000, 179.176, 5.246, -41.490, -26.100, -30.275, 11.742,
 20:35:03.392, -0.087, 0.007, -1.000, -0.305, -0.122, 0.000, 179.176, 5.240, -41.506, -26.100, -30.275, 11.950,
 20:35:03.485, -0.087, 0.006, -0.999, -0.305, -0.061, 0.000, 179.171, 5.240, -41.534, -26.075, -30.183, 11.783,
 20:35:03.597, -0.085, 0.007, -1.000, -0.244, -0.305, 0.000, 179.171, 5.229, -41.550, -26.092, -30.325, 11.858,
 20:35:03.688, -0.086, 0.005, -1.000, -0.183, -0.366, 0.000, 179.176, 5.229, -41.561, -26.033, -30.367, 11.717,
 20:35:03.797, -0.087, 0.006, -0.999, -0.244, -0.305, 0.000, 179.176, 5.229, -41.567, -25.975, -30.333, 11.567,
 20:35:03.891, -0.087, 0.004, -0.999, -0.183, -0.305, -0.061, 179.176, 5.229, -41.556, -25.958, -30.342, 11.550,
 20:35:03.984, -0.086, 0.005, -1.000, -0.305, -0.183, -0.122, 179.182, 5.229, -41.550, -26.117, -30.300, 11.742,
 20:35:04.093, -0.085, 0.005, -1.000, -0.305, -0.122, -0.183, 179.182, 5.229, -41.545, -26.067, -30.233, 11.692,
 20:35:04.186, -0.086, 0.005, -1.000, -0.244, -0.366, -0.122, 179.182, 5.229, -41.550, -26.058, -30.217, 11.958,
 20:35:04.295, -0.085, 0.005, -0.999, -0.488, 0.000, -0.061, 179.182, 5.219, -41.545, -26.042, -30.358, 11.342,
 20:35:04.389, -0.087, 0.004, -0.999, -0.305, -0.122, -0.183, 179.176, 5.208, -41.545, -26.092, -30.292, 11.642,
 20:35:04.483, -0.085, 0.005, -1.000, -0.305, -0.122, -0.183, 179.171, 5.197, -41.539, -26.100, -30.308, 11.708,
 20:35:04.593, -0.085, 0.005, -0.999, -0.244, -0.305, -0.061, 179.165, 5.186, -41.545, -26.083, -30.225, 11.842,
 20:35:04.686, -0.083, 0.006, -0.999, -0.427, -0.061, 0.000, 179.160, 5.180, -41.550, -26.008, -30.283, 12.008,
 20:35:04.794, -0.084, 0.006, -1.002, -0.244, -0.122, -0.061, 179.143, 5.158, -41.550, -26.025, -30.317, 12.233,
 20:35:04.885, -0.084, 0.006, -1.001, -0.244, -0.305, 0.000, 179.149, 5.175, -41.550, -26.075, -30.158, 12.025,
 20:35:04.981, -0.083, 0.006, -1.001, -0.244, -0.183, -0.122, 179.154, 5.175, -41.561, -26.058, -30.225, 12.217,
 20:35:05.090, -0.084, 0.005, -1.000, -0.244, -0.183, -0.122, 179.160, 5.175, -41.556, -26.008, -30.442, 11.517,
 20:35:05.185, -0.084, 0.006, -1.003, 0.061, -0.305, -0.061, 179.176, 5.191, -41.545, -26.100, -30.375, 11.658,
 20:35:05.292, -0.080, 0.006, -1.001, -0.671, 0.305, -0.305, 179.171, 5.175, -41.528, -26.125, -30.342, 11.958,
 20:35:05.383, -0.077, 0.006, -1.004, -2.197, 2.014, 0.366, 178.995, 4.971, -41.556, -26.042, -30.292, 11.825,
 20:35:05.477, -0.073, 0.012, -1.004, -3.967, 4.333, -0.977, 178.792, 4.735, -41.545, -26.242, -30.308, 11.825,
 20:35:05.588, -0.082, 0.018, -0.998, -1.099, -0.061, -1.038, 178.687, 4.636, -41.484, -26.283, -30.542, 11.792,
 20:35:05.679, -0.083, 0.004, -0.995, 3.357, -4.883, -0.244, 178.995, 4.944, -41.446, -26.225, -30.467, 11.933,
 20:35:05.791, -0.084, 0.010, -1.010, 0.000, -0.122, 1.526, 179.143, 5.076, -41.495, -26.067, -30.217, 11.933,
 20:35:05.883, -0.089, 0.031, -1.000, -3.357, 2.380, -3.540, 179.083, 5.015, -41.501, -26.108, -30.250, 12.333,
 20:35:05.977, -0.063, 0.042, -0.985, -3.174, 2.197, -6.470, 178.940, 4.894, -40.952, -26.125, -30.458, 11.783,
 20:35:06.085, -0.074, 0.020, -1.009, -4.089, 4.089, -1.038, 178.423, 4.329, -40.699, -26.333, -30.950, 11.850,
 20:35:06.181, -0.077, 0.031, -1.001, -0.305, -0.916, -0.977, 178.325, 4.224, -40.594, -26.383, -31.325, 11.633,
 20:35:06.273, -0.002, 0.014, -0.993, 1.587, 3.357, -9.949, 178.385, 4.180, -39.957, -26.533, -31.667, 11.067,
 20:35:06.382, -0.042, -0.105, -1.035, 3.540, 9.888, -32.532, 178.770, 3.763, -38.496, -26.458, -32.183, 10.767,
 20:35:06.476, -0.069, 0.018, -1.012, -1.343, -6.836, 1.038, 178.533, 3.571, -37.831, -26.517, -32.875, 11.042,
 20:35:06.584, -0.046, 0.021, -0.992, -0.916, 4.822, 6.714, 178.220, 3.604, -37.414, -26.525, -33.233, 11.000,
 20:35:06.676, -0.025, 0.021, -1.001, 3.662, 6.592, 6.531, 178.325, 3.148, -38.084, -26.683, -33.342, 10.950,
 20:35:06.785, -0.008, -0.042, -1.073, -0.610, -9.521, 3.906, 178.665, 3.779, -40.886, -26.792, -32.283, 10.900,
 20:35:06.880, -0.060, -0.031, -0.970, -3.662, -7.385, -2.930, 178.358, 4.120, -40.627, -26.792, -31.858, 11.042,
 20:35:06.974, -0.108, -0.081, -1.025, 1.038, -2.380, 0.916, 178.336, 4.092, -40.880, -26.567, -31.958, 11.100,
 20:35:07.082, 0.024, 0.133, -0.988, -0.427, -1.404, -0.488, 178.314, 4.098, -41.589, -26.725, -31.458, 11.400,
 20:35:07.177, -0.087, 0.035, -1.003, 1.587, -0.488, 5.005, 178.308, 4.065, -41.699, -26.875, -31.558, 11.117,
 20:35:07.271, -0.059, -0.004, -1.000, -1.587, -0.427, 4.150, 178.259, 3.999, -42.012, -27.000, -31.442, 11.275,
 20:35:07.378, -0.079, 0.128, -1.012, 0.793, -4.272, -5.737, 178.292, 4.016, -42.352, -27.175, -31.350, 11.267,
 20:35:07.472, -0.012, 0.100, -1.013, 2.014, -2.258, 3.235, 178.341, 3.922, -42.149, -27.417, -31.550, 11.475,
 20:35:07.582, -0.109, 0.074, -1.031, -0.244, 0.366, -5.615, 178.319, 3.840, -41.578, -27.642, -31.958, 11.300,
 20:35:07.676, -0.093, -0.059, -1.006, -1.343, -3.174, -11.658, 178.336, 3.823, -41.237, -27.842, -32.075, 11.300,
 20:35:07.768, -0.070, 0.066, -1.008, 2.991, -0.610, -9.277, 178.369, 3.796, -40.765, -27.983, -32.625, 11.492,
 20:35:07.881, -0.001, -0.043, -0.984, -3.479, 1.404, -2.075, 178.401, 3.757, -40.496, -27.975, -32.825, 11.333,
 20:35:07.973, -0.042, 0.026, -1.012, -3.479, 3.662, -7.874, 178.418, 3.719, -39.996, -28.225, -33.125, 11.442,
 20:35:08.068, -0.036, 0.017, -0.992, -0.854, 1.831, 9.033, 178.456, 3.702, -40.067, -28.408, -33.517, 11.500,
 20:35:08.177, -0.066, -0.021, -1.013, 3.296, -1.892, -0.183, 178.495, 3.708, -39.589, -28.608, -33.733, 11.533,
 20:35:08.273, -0.053, 0.033, -1.006, -0.488, 5.493, -6.531, 178.566, 3.571, -39.545, -28.800, -33.842, 11.342,
 20:35:08.365, -0.059, -0.062, -0.979, 0.854, 0.122, -2.686, 178.572, 3.527, -39.243, -28.983, -34.067, 11.342,
 20:35:08.473, -0.053, -0.144, -1.014, 1.465, 1.709, -0.427, 178.594, 3.455, -39.221, -29.000, -34.225, 11.792,
 20:35:08.567, -0.097, 0.022, -0.963, 0.610, 0.366, 6.042, 178.577, 3.477, -39.359, -28.983, -34.142, 11.658,
 20:35:08.677, -0.108, 0.118, -0.989, -2.075, -1.831, 6.531, 178.517, 3.356, -40.133, -29.200, -34.025, 12.233,
 20:35:08.770, -0.034, 0.106, -1.005, 2.380, 1.099, -1.587, 178.517, 3.170, -40.490, -29.350, -33.767, 12.025,
 20:35:08.876, -0.025, 0.029, -0.991, 0.305, 1.038, 3.540, 178.561, 3.115, -40.715, -29.567, -33.650, 12.200,
 20:35:08.969, -0.030, -0.020, -1.021, -2.625, 3.845, -0.610, 178.544, 3.142, -40.864, -29.717, -33.683, 12.125,
 20:35:09.064, -0.147, -0.003, -1.006, -0.183, -0.122, -6.226, 178.572, 3.208, -40.655, -29.883, -34.108, 12.142,
 20:35:09.172, -0.032, -0.053, -1.055, -1.587, -1.587, -1.953, 178.616, 3.235, -40.490, -30.042, -34.483, 12.300,
 20:35:09.265, -0.036, 0.019, -0.991, 2.747, 0.122, -3.174, 178.643, 3.323, -40.144, -30.117, -34.625, 12.200,
 20:35:09.360, -0.057, 0.011, -0.975, 0.427, -3.113, 1.221, 178.638, 3.312, -39.946, -30.192, -34.742, 11.967,
 20:35:09.469, -0.063, -0.014, -0.983, 1.648, 2.441, 3.235, 178.649, 3.246, -39.913, -30.075, -34.717, 11.942,
 20:35:09.562, -0.117, -0.024, -1.008, 2.625, 1.343, -4.211, 178.621, 3.290, -39.968, -29.917, -34.525, 11.742,
 20:35:09.671, -0.064, 0.069, -0.970, -4.395, -4.211, 5.005, 178.616, 3.301, -40.182, -29.592, -34.325, 11.767,
 20:35:09.767, -0.063, -0.011, -1.019, -2.014, -2.563, -2.075, 178.632, 3.351, -40.265, -29.158, -34.233, 11.767,
 20:35:09.860, -0.054, 0.002, -1.018, 3.174, -0.427, -2.808, 178.671, 3.378, -40.221, -28.567, -34.233, 11.700,
 20:35:09.973, -0.029, 0.029, -1.002, -1.587, -3.906, 4.089, 178.693, 3.461, -40.172, -28.100, -34.583, 11.692,
 20:35:10.065, -0.018, 0.046, -0.995, 2.441, 3.601, 4.395, 178.748, 3.455, -40.210, -27.567, -34.742, 11.408,
 20:35:10.158, -0.086, -0.007, -0.993, -0.671, 0.732, -1.953, 178.720, 3.510, -40.139, -27.192, -35.083, 11.308,
 20:35:10.269, -0.059, -0.025, -1.003, 2.930, 0.854, -0.244, 178.742, 3.477, -40.237, -26.850, -35.517, 11.242,
 20:35:10.360, -0.103, -0.023, -1.021, 1.831, -1.038, 2.747, 178.726, 3.494, -40.100, -26.675, -35.767, 10.858,
 20:35:10.470, -0.076, 0.008, -1.020, 1.038, 1.770, -3.601, 178.759, 3.455, -40.001, -26.617, -36.133, 10.617,
 20:35:10.563, -0.041, -0.068, -1.034, -1.831, 0.061, -3.906, 178.737, 3.395, -39.957, -26.558, -36.525, 10.092,
 20:35:10.657, -0.069, 0.147, -0.977, 0.671, 0.061, 1.953, 178.737, 3.406, -39.886, -26.533, -36.700, 9.683,
 20:35:10.765, -0.068, 0.114, -0.992, -1.221, -2.502, -3.662, 178.731, 3.549, -39.644, -26.542, -36.675, 9.675,
