xvalue,yvalue,time
0.0,0.0,2024-07-24 09:51:26.269
-0.012390243902439023,0.02168292682926829,2024-07-24 09:51:26.371
-0.03407317073170731,0.027878048780487802,2024-07-24 09:51:26.472
-0.08982926829268292,-0.02168292682926829,2024-07-24 09:51:26.574
-0.20753658536585365,0.006195121951219514,2024-07-24 09:51:26.674
-0.7960731707317072,0.055756097560975604,2024-07-24 09:51:26.776
-0.7496097560975609,0.21992682926829266,2024-07-24 09:51:26.878
-0.6195121951219511,0.5482682926829268,2024-07-24 09:51:26.979
-0.48941463414634134,0.6783658536585365,2024-07-24 09:51:27.080
-0.6690731707317071,0.4646341463414634,2024-07-24 09:51:27.182
-0.6938536585365852,0.46773170731707314,2024-07-24 09:51:27.284
-0.6628780487804876,0.46773170731707314,2024-07-24 09:51:27.385
-0.63190243902439,0.5327804878048781,2024-07-24 09:51:27.486
-0.6566829268292681,0.5606585365853659,2024-07-24 09:51:27.588
-0.6504878048780486,0.585439024390244,2024-07-24 09:51:27.689
-0.5482682926829267,0.6288048780487806,2024-07-24 09:51:27.790
-0.4088780487804876,0.5916341463414635,2024-07-24 09:51:27.891
-0.17965853658536568,0.5327804878048781,2024-07-24 09:51:27.993
-0.22921951219512177,0.5420731707317074,2024-07-24 09:51:28.095
-0.26329268292682906,0.4739268292682927,2024-07-24 09:51:28.196
0.17656097560975625,0.4987073170731708,2024-07-24 09:51:28.297
0.015487804878048933,0.47082926829268296,2024-07-24 09:51:28.399
-0.2601951219512193,0.889,2024-07-24 09:51:28.501
-0.5792439024390241,1.0129024390243901,2024-07-24 09:51:28.601
-0.39339024390243876,1.1646829268292682,2024-07-24 09:51:28.703
-0.5637560975609753,1.232829268292683,2024-07-24 09:51:28.805
-0.5482682926829265,1.2761951219512195,2024-07-24 09:51:28.906
-0.3779024390243899,1.2607073170731709,2024-07-24 09:51:29.008
-0.5451707317073167,1.3784146341463415,2024-07-24 09:51:29.116
-0.47702439024390203,1.5301951219512195,2024-07-24 09:51:29.210
-0.8084634146341458,1.8368536585365853,2024-07-24 09:51:29.312
-0.8053658536585361,2.3851219512195123,2024-07-24 09:51:29.413
-0.895195121951219,2.3200731707317073,2024-07-24 09:51:29.516
-1.112024390243902,2.580268292682927,2024-07-24 09:51:29.617
-1.1987560975609752,3.097560975609756,2024-07-24 09:51:29.717
-1.2452195121951215,3.1997804878048783,2024-07-24 09:51:29.819
-1.2916829268292678,3.636536585365854,2024-07-24 09:51:29.921
