xvalue,yvalue,time
0.0,0.0,2024-07-19 02:03:08.569
-0.003097560975609756,-0.003097560975609756,2024-07-19 02:03:08.671
-0.012390243902439022,-0.003097560975609756,2024-07-19 02:03:08.778
-0.012390243902439022,-0.07434146341463414,2024-07-19 02:03:08.884
-0.015487804878048777,-0.1610731707317073,2024-07-19 02:03:08.987
-0.024780487804878043,-0.2385121951219512,2024-07-19 02:03:09.090
-0.046463414634146334,-0.3159512195121951,2024-07-19 02:03:09.197
-0.0836341463414634,-0.405780487804878,2024-07-19 02:03:09.291
-0.11460975609756097,-0.5049024390243902,2024-07-19 02:03:09.406
-0.14558536585365853,-0.6040243902439024,2024-07-19 02:03:09.510
-0.15178048780487804,-0.7062439024390244,2024-07-19 02:03:09.617
-0.14868292682926829,-0.786780487804878,2024-07-19 02:03:09.721
-0.14558536585365853,-0.8580243902439023,2024-07-19 02:03:09.825
-0.14558536585365853,-0.913780487804878,2024-07-19 02:03:09.930
-0.139390243902439,-0.9850243902439023,2024-07-19 02:03:10.034
-0.1331951219512195,-1.0562682926829268,2024-07-19 02:03:10.139
-0.11460975609756097,-1.090341463414634,2024-07-19 02:03:10.241
-0.08673170731707316,-1.1306097560975608,2024-07-19 02:03:10.346
-0.05885365853658536,-1.1677804878048779,2024-07-19 02:03:10.453
-0.027878048780487802,-1.204951219512195,2024-07-19 02:03:10.559
-0.012390243902439022,-1.1863658536585364,2024-07-19 02:03:10.663
0.003097560975609759,-1.2142439024390241,2024-07-19 02:03:10.769
-0.10221951219512193,-1.2576097560975608,2024-07-19 02:03:10.874
-0.17656097560975606,-1.26690243902439,2024-07-19 02:03:10.976
-0.18275609756097558,-1.26690243902439,2024-07-19 02:03:11.085
-0.12390243902439022,-1.26690243902439,2024-07-19 02:03:11.187
0.06195121951219515,-1.3567317073170728,2024-07-19 02:03:11.293
0.25090243902439024,-1.4465609756097557,2024-07-19 02:03:11.395
0.44604878048780483,-1.51780487804878,2024-07-19 02:03:11.507
0.5916341463414634,-1.5921463414634143,2024-07-19 02:03:11.610
0.7341219512195122,-1.7036585365853656,2024-07-19 02:03:11.707
0.8735121951219512,-1.8182682926829266,2024-07-19 02:03:11.815
0.9664390243902439,-1.942170731707317,2024-07-19 02:03:11.933
1.0593658536585366,-2.0629756097560974,2024-07-19 02:03:12.024
1.1337073170731709,-2.183780487804878,2024-07-19 02:03:12.127
1.220439024390244,-2.3200731707317073,2024-07-19 02:03:12.234
1.2947804878048783,-2.4315853658536586,2024-07-19 02:03:12.335
1.3691219512195125,-2.530707317073171,2024-07-19 02:03:12.445
1.4465609756097564,-2.608146341463415,2024-07-19 02:03:12.548
1.5332926829268296,-2.6917804878048783,2024-07-19 02:03:12.646
1.6262195121951224,-2.7630243902439027,2024-07-19 02:03:12.754
1.7222439024390248,-2.831170731707317,2024-07-19 02:03:12.860
1.91119512195122,-2.9426829268292685,2024-07-19 02:03:12.957
2.1187317073170737,-3.05109756097561,2024-07-19 02:03:13.070
2.3386585365853665,-3.227658536585366,2024-07-19 02:03:13.173
2.5678780487804884,-3.4042195121951218,2024-07-19 02:03:13.280
2.8063902439024395,-3.6489268292682926,2024-07-19 02:03:13.386
3.05419512195122,-3.9060243902439025,2024-07-19 02:03:13.491
3.3236829268292687,-4.206487804878049,2024-07-19 02:03:13.600
3.5683902439024395,-4.491463414634146,2024-07-19 02:03:13.699
3.8192926829268297,-4.760951219512195,2024-07-19 02:03:13.807
4.029926829268293,-4.959195121951219,2024-07-19 02:03:13.908
4.231268292682927,-5.19460975609756,2024-07-19 02:03:14.013
4.537926829268293,-5.45170731707317,2024-07-19 02:03:14.123
4.847682926829268,-5.699512195121951,2024-07-19 02:03:14.221
5.1636341463414634,-5.9535121951219505,2024-07-19 02:03:14.326
5.479585365853659,-6.21060975609756,2024-07-19 02:03:14.435
5.811024390243903,-6.433634146341463,2024-07-19 02:03:14.543
6.151756097560976,-6.659756097560975,2024-07-19 02:03:14.641
6.4862926829268295,-6.895170731707316,2024-07-19 02:03:14.750
6.830121951219512,-7.127487804878048,2024-07-19 02:03:14.856
7.112,-7.375292682926829,2024-07-19 02:03:14.966
7.372195121951219,-7.666463414634146,2024-07-19 02:03:15.062
7.635487804878049,-7.9607317073170725,2024-07-19 02:03:15.177
7.898780487804879,-8.254999999999999,2024-07-19 02:03:15.262
8.165170731707317,-8.552365853658536,2024-07-19 02:03:15.383
8.428463414634146,-8.828048780487805,2024-07-19 02:03:15.480
8.691756097560976,-9.103731707317074,2024-07-19 02:03:15.579
8.955048780487806,-9.379414634146343,2024-07-19 02:03:15.690
9.218341463414635,-9.655097560975612,2024-07-19 02:03:15.785
9.481634146341465,-9.930780487804881,2024-07-19 02:03:15.898
9.741829268292685,-10.21265853658537,2024-07-19 02:03:16.004
